Year,CPI_combined,CPI_Headline_Inflation,Date_n
02-Jan,48.72505543,5.585585586,01/01/02
02-Feb,48.64190687,5.59566787,02/01/02
02-Mar,48.97450111,5.745062837,03/01/02
02-Apr,49.22394678,5.525846702,04/01/02
02-May,49.55654102,5.486725664,05/01/02
02-Jun,50.05543237,5.429071804,06/01/02
02-Jul,50.55432373,5.190311419,07/01/02
02-Aug,50.8037694,4.982817869,08/01/02
02-Sep,50.88691796,5.517241379,09/01/02
02-Oct,51.13636364,4.948805461,10/01/02
02-Nov,51.30266075,4.576271186,11/01/02
02-Dec,50.97006652,4.25170068,12/01/02
03-Jan,50.88691796,4.436860068,01/01/03
03-Feb,51.05321508,4.957264957,02/01/03
03-Mar,51.38580931,4.923599321,03/01/03
03-Apr,52.13414634,5.912162162,04/01/03
03-May,52.2172949,5.369127517,05/01/03
03-Jun,52.38359202,4.651162791,06/01/03
03-Jul,52.79933481,4.440789474,07/01/03
03-Aug,52.46674058,3.273322422,08/01/03
03-Sep,52.54988914,3.267973856,09/01/03
03-Oct,52.96563193,3.577235772,10/01/03
03-Nov,53.04878049,3.40356564,11/01/03
03-Dec,52.96563193,3.915171289,12/01/03
04-Jan,53.04878049,4.248366013,01/01/04
04-Feb,53.04878049,3.908794788,02/01/04
04-Mar,53.13192905,3.398058252,03/01/04
04-Apr,53.29822616,2.232854864,04/01/04
04-May,53.71396896,2.866242038,05/01/04
04-Jun,54.12971175,3.333333333,06/01/04
04-Jul,54.54545455,3.307086614,07/01/04
04-Aug,55.0443459,4.912836767,08/01/04
04-Sep,55.12749446,4.905063291,09/01/04
04-Oct,55.54323725,4.866562009,10/01/04
04-Nov,55.37694013,4.388714734,11/01/04
04-Dec,54.96119734,3.767660911,12/01/04
05-Jan,55.37694013,4.388714734,01/01/05
05-Feb,55.37694013,4.388714734,02/01/05
05-Mar,55.37694013,4.225352113,03/01/05
05-Apr,55.79268293,4.680187207,04/01/05
05-May,55.46008869,3.250773994,05/01/05
05-Jun,55.54323725,2.611367127,06/01/05
05-Jul,56.4578714,3.506097561,07/01/05
05-Aug,56.62416851,2.870090634,08/01/05
05-Sep,56.70731707,2.865761689,09/01/05
05-Oct,57.20620843,2.994011976,10/01/05
05-Nov,57.78824834,4.354354354,11/01/05
05-Dec,57.53880266,4.689863843,12/01/05
06-Jan,57.62195122,4.054054054,01/01/06
06-Feb,57.62195122,4.054054054,02/01/06
06-Mar,57.62195122,4.054054054,03/01/06
06-Apr,58.20399113,4.321907601,04/01/06
06-May,58.95232816,6.296851574,05/01/06
06-Jun,59.78381375,7.634730539,06/01/06
06-Jul,60.11640798,6.48011782,07/01/06
06-Aug,60.53215078,6.901615272,08/01/06
06-Sep,60.94789357,7.478005865,09/01/06
06-Oct,61.6962306,7.848837209,10/01/06
06-Nov,61.6962306,6.762589928,11/01/06
06-Dec,61.44678492,6.791907514,12/01/06
07-Jan,61.44678492,6.637806638,01/01/07
07-Feb,61.61308204,6.926406926,02/01/07
07-Mar,61.61308204,6.926406926,03/01/07
07-Apr,62.19512195,6.857142857,04/01/07
07-May,62.52771619,6.064880113,05/01/07
07-Jun,63.02660754,5.424200278,06/01/07
07-Jul,63.94124169,6.362378976,07/01/07
07-Aug,64.19068736,6.043956044,08/01/07
07-Sep,64.27383592,5.457025921,09/01/07
07-Oct,64.77272727,4.986522911,10/01/07
07-Nov,64.85587583,5.121293801,11/01/07
07-Dec,64.85587583,5.548037889,12/01/07
08-Jan,64.93902439,5.683355886,01/01/08
08-Feb,65.35476718,6.072874494,02/01/08
08-Mar,66.26940133,7.557354926,03/01/08
08-Apr,67.10088692,7.887700535,04/01/08
08-May,67.18403548,7.446808511,05/01/08
08-Jun,68.09866962,8.047493404,06/01/08
08-Jul,69.26274945,8.322496749,07/01/08
08-Aug,70.09423503,9.196891192,08/01/08
08-Sep,70.7594235,10.09055627,09/01/08
08-Oct,72.08980044,11.29653402,10/01/08
08-Nov,72.08980044,11.15384615,11/01/08
08-Dec,71.09201774,9.615384615,12/01/08
09-Jan,71.42461197,9.987195903,01/01/09
09-Feb,71.34146341,9.160305344,02/01/09
09-Mar,71.59090909,8.030112923,03/01/09
09-Apr,72.33924612,7.80669145,04/01/09
09-May,73.08758315,8.787128713,05/01/09
09-Jun,73.91906874,8.547008547,06/01/09
09-Jul,76.49667406,10.44417767,07/01/09
09-Aug,77.24501109,10.20166074,08/01/09
09-Sep,77.827051,9.988249119,09/01/09
09-Oct,78.65853659,9.111880046,10/01/09
09-Nov,80.2383592,11.30334487,11/01/09
09-Dec,80.40465632,13.0994152,12/01/09
10-Jan,80.98669623,13.38766007,01/01/10
10-Feb,80.2383592,12.47086247,02/01/10
10-Mar,80.07206208,11.8466899,03/01/10
10-Apr,80.654102,11.49425287,04/01/10
10-May,81.31929047,11.26279863,05/01/10
10-Jun,82.31707317,11.36107987,06/01/10
10-Jul,84.22949002,10.10869565,07/01/10
10-Aug,84.31263858,9.149623251,08/01/10
10-Sep,85.06097561,9.294871795,09/01/10
10-Oct,85.55986696,8.773784355,10/01/10
10-Nov,86.05875831,7.25388601,11/01/10
10-Dec,87.05654102,8.273009307,12/01/10
11-Jan,89.5,10.5119781,01/01/11
11-Feb,88.4,10.17174439,02/01/11
11-Mar,88.4,10.40055382,03/01/11
11-Apr,89.1,10.47175258,04/01/11
11-May,89.8,10.42890252,05/01/11
11-Jun,90.6,10.06222222,06/01/11
11-Jul,91.8,8.987956565,07/01/11
11-Aug,92.7,9.947928994,08/01/11
11-Sep,93.8,10.27383513,09/01/11
11-Oct,94.8,10.79961127,10/01/11
11-Nov,95.2,10.6220934,11/01/11
11-Dec,94.7,8.779879019,12/01/11
12-Jan,95.1,6.25698324,01/01/12
12-Feb,95.5,8.031674208,02/01/12
12-Mar,96.4,9.049773756,03/01/12
12-Apr,97.8,9.764309764,04/01/12
12-May,98.6,9.799554566,05/01/12
12-Jun,99.8,10.15452539,06/01/12
12-Jul,101.1,10.13071895,07/01/12
12-Aug,102.2,10.24811219,08/01/12
12-Sep,102.9,9.701492537,09/01/12
12-Oct,103.6,9.282700422,10/01/12
12-Nov,104.3,9.558823529,11/01/12
12-Dec,104.6,10.45406547,12/01/12
13-Jan,104.6,9.989484753,01/01/13
13-Feb,105.3,10.2617801,02/01/13
13-Mar,105.5,9.439834025,03/01/13
13-Apr,106.1,8.486707566,04/01/13
13-May,106.9,8.417849899,05/01/13
13-Jun,109.3,9.519038076,06/01/13
13-Jul,111,9.792284866,07/01/13
13-Aug,112.4,9.980430528,08/01/13
13-Sep,113.7,10.49562682,09/01/13
13-Oct,114.8,10.81081081,10/01/13
13-Nov,116.3,11.50527325,11/01/13
13-Dec,114.5,9.464627151,12/01/13
14-Jan,113.6,8.604206501,01/01/14
14-Feb,113.6,7.882241216,02/01/14
14-Mar,114.2,8.246445498,03/01/14
14-Apr,115.1,8.482563619,04/01/14
14-May,115.8,8.325537886,05/01/14
14-Jun,116.7,6.770356816,06/01/14
14-Jul,119.2,7.387387387,07/01/14
14-Aug,120.3,7.028469751,08/01/14
14-Sep,120.1,5.628847845,09/01/14
14-Oct,120.1,4.616724739,10/01/14
14-Nov,120.1,3.267411866,11/01/14
14-Dec,119.4,4.279475983,12/01/14
15-Jan,119.5,5.193661972,01/01/15
15-Feb,119.7,5.36971831,02/01/15
15-Mar,120.2,5.253940455,03/01/15
15-Apr,120.7,4.865334492,04/01/15
15-May,121.6,5.008635579,05/01/15
15-Jun,123,5.398457584,06/01/15
15-Jul,123.6,3.691275168,07/01/15
15-Aug,124.8,3.740648379,08/01/15
15-Sep,125.4,4.412989176,09/01/15
15-Oct,126.1,4.995836803,10/01/15
15-Nov,126.6,5.412156536,11/01/15
15-Dec,126.1,5.611390285,12/01/15
16-Jan,126.3,5.690376569,01/01/16
16-Feb,126,5.263157895,02/01/16
16-Mar,126,4.825291181,03/01/16
16-Apr,127.3,5.468102734,04/01/16
16-May,128.6,5.756578947,05/01/16
16-Jun,130.1,5.772357724,06/01/16
16-Jul,131.1,6.067961165,07/01/16
16-Aug,131.1,5.048076923,08/01/16
16-Sep,130.9,4.385964912,09/01/16
