Year,CPI_combined,CPI_Headline_Inflation,Date_n
16-Oct,131.4,4.203013481,10/01/16
16-Nov,131.2,3.633491311,11/01/16
16-Dec,130.4,3.40999207,12/01/16
17-Jan,130.3,3.167062549,01/01/17
17-Feb,130.6,3.650793651,02/01/17
17-Mar,130.9,3.888888889,03/01/17
17-Apr,131.1,2.985074627,04/01/17
17-May,131.4,2.177293935,05/01/17
17-Jun,132,1.460415065,06/01/17
17-Jul,134.2,2.36460717,07/01/17
17-Aug,135.4,3.279938978,08/01/17
17-Sep,135.2,3.284950344,09/01/17
17-Oct,136.1,3.576864536,10/01/17
17-Nov,137.6,4.87804878,11/01/17
17-Dec,137.2,5.214723926,12/01/17
18-Jan,136.9,5.065234075,01/01/18
18-Feb,136.4,4.441041348,02/01/18
18-Mar,136.5,4.278074866,03/01/18
18-Apr,137.1,4.576659039,04/01/18
18-May,137.8,4.870624049,05/01/18
18-Jun,138.5,4.924242424,06/01/18
18-Jul,139.8,4.172876304,07/01/18
18-Aug,140.4,3.692762186,08/01/18
18-Sep,140.3,3.772189349,09/01/18
18-Oct,140.7,3.379867744,10/01/18
18-Nov,140.8,2.325581395,11/01/18
18-Dec,140.2,2.186588921,12/01/18
